path,relative_path,filename,extension,size_bytes,modified_time,sha256
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1474.RAF,Photos/Archives/2025/07-29-2025/DSCF1474.RAF,DSCF1474.RAF,.raf,19377664,2025-07-26T15:17:24,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1474.JPG,Photos/Archives/2025/07-29-2025/DSCF1474.JPG,DSCF1474.JPG,.jpg,4012307,2025-07-26T15:17:24,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1473.RAF,Photos/Archives/2025/07-29-2025/DSCF1473.RAF,DSCF1473.RAF,.raf,19387904,2025-07-26T15:17:24,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1473.JPG,Photos/Archives/2025/07-29-2025/DSCF1473.JPG,DSCF1473.JPG,.jpg,4728398,2025-07-26T15:17:24,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1472.RAF,Photos/Archives/2025/07-29-2025/DSCF1472.RAF,DSCF1472.RAF,.raf,19347968,2025-07-26T15:16:42,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1472.JPG,Photos/Archives/2025/07-29-2025/DSCF1472.JPG,DSCF1472.JPG,.jpg,4050175,2025-07-26T15:16:42,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1471.RAF,Photos/Archives/2025/07-29-2025/DSCF1471.RAF,DSCF1471.RAF,.raf,19407360,2025-07-26T15:16:40,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1471.JPG,Photos/Archives/2025/07-29-2025/DSCF1471.JPG,DSCF1471.JPG,.jpg,4261472,2025-07-26T15:16:40,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1470.JPG,Photos/Archives/2025/07-29-2025/DSCF1470.JPG,DSCF1470.JPG,.jpg,4122809,2025-07-26T15:16:40,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1470.RAF,Photos/Archives/2025/07-29-2025/DSCF1470.RAF,DSCF1470.RAF,.raf,19366912,2025-07-26T15:16:40,
